"","Genotype","Mean","Max","Min","Median","Std","Letters","y_position","Soil","Compartment"
"1","WT",1527.79006027494,2080.72727272727,1331.525,1401.87711864407,314.82462357708,"c",2218.7625,"NPK","Rhizosphere"
"2","symrk",1033.90717302786,1254.62727272727,799.384615384615,1026.06585698252,158.91272328294,"a",1392.6625,"NPK","Rhizosphere"
"3","ccamk",1454.1514552805,1775.65361445783,1159.6935483871,1450.63552631579,212.858320877744,"bc",1913.68884173056,"NPK","Rhizosphere"
"4","nsp1",1121.56865883377,1362.01801801802,792.185185185185,1228.01516440914,259.219961887867,"ab",1500.05324529075,"NPK","Rhizosphere"
"5","nsp2",816.293103676196,961.592857142857,700.375,802.039456145028,108.997809328806,"a",1099.62808441558,"NPK","Rhizosphere"
"6","WT",569.204753516917,748.611650485437,358.651162790698,580.620958751394,135.850725393604,"a",820.451826309613,"NPK","Root"
"7","symrk",510.577265491298,622.10752688172,401,508.533033033033,82.9315949154683,"a",693.947702705896,"NPK","Root"
"8","ccamk",348.109948361823,409.133333333333,276.615384615385,356.36,50.4194660091846,"a",480.973509157509,"NPK","Root"
"9","nsp1",562.425026896724,995.017142857143,390.508474576271,484.355555555556,219.003910872776,"a",1066.85731868132,"NPK","Root"
"10","nsp2",472.212189471868,660.011111111111,277,433.96174863388,144.76670878268,"a",731.851286935287,"NPK","Root"
"11","WT",1414.09439240048,1808.93037974684,1056.41666666667,1370.68545895852,263.093571360969,"a",1960.02926572324,"PK","Rhizosphere"
"12","symrk",1204.22424482665,1373.99065420561,948.555555555556,1255.52815624514,166.291398141284,"a",1525.08954018202,"PK","Rhizosphere"
"13","ccamk",1303.84773918378,1855.91743119266,929.447154471545,1285.0637421807,346.313654497034,"a",2007.01631716907,"PK","Rhizosphere"
"14","nsp1",972.638931894353,1503.05785123967,344.928571428571,922.255376344086,411.667673087265,"a",1654.15673721608,"PK","Rhizosphere"
"15","nsp2",1229.06796134829,1359.0612244898,1118.08670520231,1223.32298850575,93.8507457631291,"a",1510.1601104662,"PK","Rhizosphere"
"16","WT",483.593687674214,687.761904761905,79,578.019956002514,245.315088822651,"ab",769.422704761905,"PK","Root"
"17","symrk",677.137428713037,895.608,560.868421052632,637.75,117.430931392964,"a",977.2688,"PK","Root"
"18","ccamk",401.92153999613,503.346153846154,241,441.383606557377,111.648974006442,"b",585.006953846154,"PK","Root"
"19","nsp1",505.480614973262,638.338235294118,200.666666666667,549.5,156.098593572328,"ab",719.999035294118,"PK","Root"
"20","nsp2",591.473250051835,717.028571428571,472,550.22641509434,113.323954148831,"ab",798.689371428571,"PK","Root"
"21","WT",1316.03593189921,1440.40316205534,1105.29743589744,1355.83250420404,135.101509720003,"a",1515.82220620464,"UF","Rhizosphere"
"22","symrk",1244.12671538049,1398.65587044534,1131.15625,1231.549436796,104.033716230363,"a",1474.07491459465,"UF","Rhizosphere"
"23","ccamk",1137.08694135456,1352.07142857143,748.05504587156,1179.25180370965,229.149137025437,"a",1427.49047272073,"UF","Rhizosphere"
"24","nsp1",1176.51098706673,1440.73966942149,890.625,1203.35761381476,198.346185081811,"a",1516.15871357079,"UF","Rhizosphere"
"25","nsp2",1300.79638432066,1502.24548736462,1141.51595744681,1254.3958189272,154.694806239725,"a",1577.66453151393,"UF","Rhizosphere"
"26","WT",626.158797512832,694.244897959184,521.5,632.818704197202,58.6321802685595,"b",731.00076058873,"UF","Root"
"27","symrk",581.790852116498,668.678571428571,451.5,576.002884615385,78.4621894616267,"ab",705.434434058118,"UF","Root"
"28","ccamk",449.706479129361,493,372.486486486487,452.698863636364,45.0360308491744,"a",529.755862629547,"UF","Root"
"29","nsp1",587.98705816948,736.365591397849,496.797101449275,550.185810810811,101.870090971236,"ab",773.121454027396,"UF","Root"
"30","nsp2",544.540555041793,740.045112781955,375.558823529412,556.515151515152,120.236603669151,"ab",776.800975411502,"UF","Root"
