feature	Actinomycetales	Burkholderiales	Caulobacterales	Flavobacteriales	Pseudomonadales	Rhizobiales	Sphingomonadales	Xanthomonadales
Lj_Gifu_LjSC_1_endo	114	24215	7997	8121	4818	33109	855	2357
Lj_Gifu_LjSC_2_endo	50	13002	3868	2220	2432	23592	511	890
Lj_Gifu_LjSC_3_endo	27	7498	3815	2863	1521	25114	500	1220
Lj_Gifu_LjSC_4_endo	55	8198	4024	2678	1481	26842	561	633
Lj_symrk_LjSC_1_endo	4	26337	5733	3451	11799	10454	597	703
Lj_symrk_LjSC_2_endo	16	35443	5000	4760	14098	17931	679	1462
Lj_symrk_LjSC_3_endo	25	40262	6556	6014	9010	15231	829	1273
Lj_symrk_LjSC_4_endo	211	29103	11430	15236	11540	22628	854	6163
Lj_ccamk_LjSC_1_endo	20	12136	2829	6222	2170	8453	360	2336
Lj_ccamk_LjSC_2_endo	0	7724	1805	2051	2391	3535	246	504
Lj_ccamk_LjSC_3_endo	58	17726	7425	11032	3978	16064	625	2559
Lj_ccamk_LjSC_4_endo	29	20898	4336	17859	4652	11767	679	4538
Lj_nsp1_LjSC_1_endo	17	28212	6774	9446	4296	11923	484	1302
Lj_nsp1_LjSC_2_endo	31	14376	5177	5682	4044	10210	541	1290
Lj_nsp1_LjSC_3_endo	9	13166	7251	9169	3648	9490	638	1114
Lj_nsp1_LjSC_4_endo	0	1442	728	862	583	1114	69	206
Lj_nsp2_LjSC_1_endo	39	17322	7666	8555	6634	17580	776	1545
Lj_nsp2_LjSC_2_endo	9	17863	5151	4405	3225	13550	761	1940
Lj_nsp2_LjSC_3_endo	0	9308	4089	2598	2691	9362	710	1198
Lj_nsp2_LjSC_4_endo	15	47572	4387	2934	7005	7491	748	1412
