"Order","Compartment","P_Value","WT","symrk","ccamk","nsp1","nsp2"
"Bacillales","Root",0.0697823861854855,"a","a","a","a","a"
"Burkholderiales","Root",0.047475358455503,"ab","a","b","ab","ab"
"Caulobacterales","Root",0.112876328091575,"a","a","a","a","a"
"Corynebacteriales","Root",0.84684181055096,"a","a","a","a","a"
"Enterobacterales","Root",0.325594588302683,"a","a","a","a","a"
"Micrococcales","Root",0.0123128892477132,"ab","ab","a","ab","b"
"Propionibacteriales","Root",0.119943542193747,"a","a","a","a","a"
"Pseudomonadales","Root",0.624069896581061,"a","a","a","a","a"
"Rhizobiales","Root",0.000392373615452113,"ab","ab","a","a","b"
"Rhodobacterales","Root",0.180054647658334,"a","a","a","a","a"
"Rhodospirillales","Root",0.0562937139372061,"ab","ab","ab","a","b"
"Sphingobacteriales","Root",0.00044794632694933,"ab","a","b","ab","b"
"Sphingomonadales","Root",1.25458312231177e-07,"b","a","a","a","a"
"Xanthomonadales","Root",9.09083189527654e-05,"c","ab","a","a","bc"
"Bacillales","Rhizosphere",0.706751847507809,"a","a","a","a","a"
"Burkholderiales","Rhizosphere",0.00913235868108475,"b","a","ab","ab","a"
"Caulobacterales","Rhizosphere",0.0810403224147731,"a","a","a","a","a"
"Corynebacteriales","Rhizosphere",0.0593295005101655,"a","a","a","a","a"
"Enterobacterales","Rhizosphere",0.0336511433150263,"a","a","a","a","a"
"Micrococcales","Rhizosphere",0.00188909264600654,"a","a","ab","b","a"
"Propionibacteriales","Rhizosphere",0.143906009457945,"a","a","a","a","a"
"Pseudomonadales","Rhizosphere",0.0418363668539449,"b","a","ab","ab","ab"
"Rhizobiales","Rhizosphere",0.00609665067470464,"b","a","ab","a","a"
"Rhodobacterales","Rhizosphere",0.149443177948202,"a","a","a","a","a"
"Rhodospirillales","Rhizosphere",0.177423643901549,"a","a","a","a","a"
"Sphingobacteriales","Rhizosphere",0.0232257642361993,"b","ab","a","a","ab"
"Sphingomonadales","Rhizosphere",0.279761673586386,"a","a","a","a","a"
"Xanthomonadales","Rhizosphere",0.0242975134814289,"ab","ab","a","b","ab"
